"X1","years","value"
"Emissions sur le territoire national (hors exportations) ",1995-01-01,6.93119345755017
"Emissions sur le territoire national (hors exportations) ",2000-01-01,6.7930970052563
"Emissions sur le territoire national (hors exportations) ",2005-01-01,6.58147954689914
"Emissions sur le territoire national (hors exportations) ",2010-01-01,5.71691132808553
"Emissions sur le territoire national (hors exportations) ",2011-01-01,5.2515226635445
"Emissions sur le territoire national (hors exportations) ",2012-01-01,5.2805958738584
"Emissions sur le territoire national (hors exportations) ",2013-01-01,5.24619993991894
"Emissions sur le territoire national (hors exportations) ",2014-01-01,4.80815246393314
"Emissions sur le territoire national (hors exportations) ",2015-01-01,4.83788321545229
"Emissions sur le territoire national (hors exportations) ",2016-01-01,4.87098636991069
"Emissions sur le territoire national (hors exportations) ",2017-01-01,4.91060852469061
"Emissions sur le territoire national (hors exportations) ",2018-01-01,4.63535956081069
"Emissions sur le territoire national (hors exportations) ",2019-01-01,4.63404531730941
"Emissions sur le territoire national (hors exportations) ",2020-01-01,4.2235427878578
"Emissions associées aux importations",1995-01-01,4.02594474308169
"Emissions associées aux importations",2000-01-01,4.29496201660437
"Emissions associées aux importations",2005-01-01,4.55767081641275
"Emissions associées aux importations",2010-01-01,4.73260119835285
"Emissions associées aux importations",2011-01-01,5.10098966387099
"Emissions associées aux importations",2012-01-01,4.76187679711828
"Emissions associées aux importations",2013-01-01,4.68575639015418
"Emissions associées aux importations",2014-01-01,4.70779791326965
"Emissions associées aux importations",2015-01-01,4.45571381519407
"Emissions associées aux importations",2016-01-01,4.27328398118573
"Emissions associées aux importations",2017-01-01,4.56913563202332
"Emissions associées aux importations",2018-01-01,4.54074334825215
"Emissions associées aux importations",2019-01-01,4.37798177069345
"Emissions associées aux importations",2020-01-01,3.97952094101317
