"label","years","value"
"Émissions de CO2 liées à la combustion",1990-01-01,1
"Émissions de CO2 liées à la combustion",1991-01-01,1.07353677518998
"Émissions de CO2 liées à la combustion",1992-01-01,1.0511131604646
"Émissions de CO2 liées à la combustion",1993-01-01,1.00001958311201
"Émissions de CO2 liées à la combustion",1994-01-01,0.979388417660199
"Émissions de CO2 liées à la combustion",1995-01-01,0.996405955071401
"Émissions de CO2 liées à la combustion",1996-01-01,1.04517389696131
"Émissions de CO2 liées à la combustion",1997-01-01,1.02240035580919
"Émissions de CO2 liées à la combustion",1998-01-01,1.07484735048011
"Émissions de CO2 liées à la combustion",1999-01-01,1.06954655758239
"Émissions de CO2 liées à la combustion",2000-01-01,1.05263586732706
"Émissions de CO2 liées à la combustion",2001-01-01,1.07059937590829
"Émissions de CO2 liées à la combustion",2002-01-01,1.0562573242336
"Émissions de CO2 liées à la combustion",2003-01-01,1.07668948251308
"Émissions de CO2 liées à la combustion",2004-01-01,1.07562908467254
"Émissions de CO2 liées à la combustion",2005-01-01,1.08381348395562
"Émissions de CO2 liées à la combustion",2006-01-01,1.05013363028054
"Émissions de CO2 liées à la combustion",2007-01-01,1.0192997030866
"Émissions de CO2 liées à la combustion",2008-01-01,1.00988738048256
"Émissions de CO2 liées à la combustion",2009-01-01,0.982297444673391
"Émissions de CO2 liées à la combustion",2010-01-01,0.995328436627216
"Émissions de CO2 liées à la combustion",2011-01-01,0.931188299996767
"Émissions de CO2 liées à la combustion",2012-01-01,0.944408468449442
"Émissions de CO2 liées à la combustion",2013-01-01,0.944148281215076
"Émissions de CO2 liées à la combustion",2014-01-01,0.854341987494245
"Émissions de CO2 liées à la combustion",2015-01-01,0.871222605807505
"Émissions de CO2 liées à la combustion",2016-01-01,0.882087836640931
"Émissions de CO2 liées à la combustion",2017-01-01,0.887325046619653
"Émissions de CO2 liées à la combustion",2018-01-01,0.846684974657346
"Émissions de CO2 liées à la combustion",2019-01-01,0.832166636867334
"Émissions de CO2 liées à la combustion",2020-01-01,NA
"Population",1990-01-01,1
"Population",1991-01-01,1.00466021528183
"Population",1992-01-01,1.00943021015607
"Population",1993-01-01,1.01400146702724
"Population",1994-01-01,1.01746306803118
"Population",1995-01-01,1.02077761281086
"Population",1996-01-01,1.02401963695495
"Population",1997-01-01,1.02720218463333
"Population",1998-01-01,1.03043572476448
"Population",1999-01-01,1.03392921151705
"Population",2000-01-01,1.04032023613836
"Population",2001-01-01,1.04753825759584
"Population",2002-01-01,1.05494987362356
"Population",2003-01-01,1.06230165968503
"Population",2004-01-01,1.06943494706329
"Population",2005-01-01,1.07752733442918
"Population",2006-01-01,1.08524193576895
"Population",2007-01-01,1.09223249730456
"Population",2008-01-01,1.09823543135903
"Population",2009-01-01,1.10408309030171
"Population",2010-01-01,1.10937722042526
"Population",2011-01-01,1.1147700302243
"Population",2012-01-01,1.12017199568729
"Population",2013-01-01,1.12586148081376
"Population",2014-01-01,1.13169588348622
"Population",2015-01-01,1.13651874436609
"Population",2016-01-01,1.13948763631865
