"Tax","Choc_tot","Cov.rate","Decile","CO2"
"Carbon tax on 
 direct emissions",96.3805594643873,0.0103958392263335,"Décile 1 ",2.16099909112976
"Carbon tax on 
 direct emissions",122.931640336657,0.00772415163058998,"Décile 2 ",2.75631480575464
"Carbon tax on 
 direct emissions",137.905640479635,0.00712758839385665,"Décile 3 ",3.09205471927433
"Carbon tax on 
 direct emissions",152.050048991912,0.00668919879451478,"Décile 4 ",3.40919392358548
"Carbon tax on 
 direct emissions",168.203014199449,0.00634211699682984,"Décile 5 ",3.77136803137778
"Carbon tax on 
 direct emissions",194.288410344103,0.0063775043898968,"Décile 6 ",4.35624238439694
"Carbon tax on 
 direct emissions",193.723878000866,0.00556617052351509,"Décile 7 ",4.34358470853959
"Carbon tax on 
 direct emissions",203.786221439916,0.00505190393704063,"Décile 8 ",4.56919779013265
"Carbon tax on 
 direct emissions",240.178018029571,0.00486927306254368,"Décile 9 ",5.38515735492311
"Carbon tax on 
 direct emissions",249.565619627174,0.00380217040032817,"Décile 10",5.59564169567654
