"type","years","value","scenario"
"Route","2021-25",5.9261,"Pro-Techno"
"Route","2026-30",5.71408,"Pro-Techno"
"Route","2031-35",5.2068,"Pro-Techno"
"Route","2036-40",5.23038,"Pro-Techno"
"Route","2041-45",5.43754,"Pro-Techno"
"Route","2046-50",5.55802,"Pro-Techno"
"Rail","2021-25",1.46196,"Pro-Techno"
"Rail","2026-30",1.21248,"Pro-Techno"
"Rail","2031-35",3.07074,"Pro-Techno"
"Rail","2036-40",3.1977,"Pro-Techno"
"Rail","2041-45",3.48452,"Pro-Techno"
"Rail","2046-50",3.54298,"Pro-Techno"
"Ponts & tunnels","2021-25",1.61326,"Pro-Techno"
"Ponts & tunnels","2026-30",1.63374,"Pro-Techno"
"Ponts & tunnels","2031-35",2.0029,"Pro-Techno"
"Ponts & tunnels","2036-40",1.7902,"Pro-Techno"
"Ponts & tunnels","2041-45",1.7252,"Pro-Techno"
"Ponts & tunnels","2046-50",1.65926,"Pro-Techno"
"Conduites (dont eau)","2021-25",3.54618,"Pro-Techno"
"Conduites (dont eau)","2026-30",3.95362,"Pro-Techno"
"Conduites (dont eau)","2031-35",3.15276,"Pro-Techno"
"Conduites (dont eau)","2036-40",3.61972,"Pro-Techno"
"Conduites (dont eau)","2041-45",4.00514,"Pro-Techno"
"Conduites (dont eau)","2046-50",4.0926,"Pro-Techno"
"Electricité & télécom","2021-25",0.8779,"Pro-Techno"
"Electricité & télécom","2026-30",1.11226,"Pro-Techno"
"Electricité & télécom","2031-35",1.50902,"Pro-Techno"
"Electricité & télécom","2036-40",1.6694,"Pro-Techno"
"Electricité & télécom","2041-45",2.34606,"Pro-Techno"
"Electricité & télécom","2046-50",2.45472,"Pro-Techno"
"Autres infrastructures","2021-25",1.50034,"Pro-Techno"
"Autres infrastructures","2026-30",1.51652,"Pro-Techno"
"Autres infrastructures","2031-35",1.2847,"Pro-Techno"
"Autres infrastructures","2036-40",1.3275,"Pro-Techno"
"Autres infrastructures","2041-45",2.10064,"Pro-Techno"
"Autres infrastructures","2046-50",2.61544,"Pro-Techno"
"Aménagement de sites","2021-25",8.11748,"Pro-Techno"
"Aménagement de sites","2026-30",9.62598,"Pro-Techno"
"Aménagement de sites","2031-35",10.52196,"Pro-Techno"
"Aménagement de sites","2036-40",8.52146,"Pro-Techno"
"Aménagement de sites","2041-45",9.66266,"Pro-Techno"
"Aménagement de sites","2046-50",11.7907,"Pro-Techno"
"Route","2021-25",4.84306,"Sobriété"
"Route","2026-30",5.2472,"Sobriété"
"Route","2031-35",3.81568,"Sobriété"
"Route","2036-40",2.43654,"Sobriété"
"Route","2041-45",1.13084,"Sobriété"
"Route","2046-50",1.25132,"Sobriété"
"Rail","2021-25",2.04376,"Sobriété"
"Rail","2026-30",1.79836,"Sobriété"
"Rail","2031-35",0.1972,"Sobriété"
"Rail","2036-40",0.29952,"Sobriété"
"Rail","2041-45",0.5295,"Sobriété"
"Rail","2046-50",0.57648,"Sobriété"
"Ponts & tunnels","2021-25",1.7995,"Sobriété"
"Ponts & tunnels","2026-30",1.75822,"Sobriété"
"Ponts & tunnels","2031-35",1.19712,"Sobriété"
"Ponts & tunnels","2036-40",0.73,"Sobriété"
"Ponts & tunnels","2041-45",0.42182,"Sobriété"
"Ponts & tunnels","2046-50",0.35506,"Sobriété"
"Conduites (dont eau)","2021-25",1.99342,"Sobriété"
"Conduites (dont eau)","2026-30",2.27938,"Sobriété"
"Conduites (dont eau)","2031-35",2.07412,"Sobriété"
"Conduites (dont eau)","2036-40",2.17128,"Sobriété"
"Conduites (dont eau)","2041-45",2.31306,"Sobriété"
"Conduites (dont eau)","2046-50",2.22366,"Sobriété"
"Electricité & télécom","2021-25",0.58832,"Sobriété"
"Electricité & télécom","2026-30",0.60696,"Sobriété"
"Electricité & télécom","2031-35",0.72622,"Sobriété"
"Electricité & télécom","2036-40",0.98958,"Sobriété"
"Electricité & télécom","2041-45",0.4417,"Sobriété"
"Electricité & télécom","2046-50",0.57458,"Sobriété"
"Autres infrastructures","2021-25",1.28312,"Sobriété"
"Autres infrastructures","2026-30",1.15836,"Sobriété"
"Autres infrastructures","2031-35",0.5071,"Sobriété"
"Autres infrastructures","2036-40",0.40776,"Sobriété"
"Autres infrastructures","2041-45",0.76056,"Sobriété"
"Autres infrastructures","2046-50",1.4901,"Sobriété"
"Aménagement de sites","2021-25",7.06202,"Sobriété"
"Aménagement de sites","2026-30",7.72856,"Sobriété"
"Aménagement de sites","2031-35",6.63544,"Sobriété"
"Aménagement de sites","2036-40",3.55962,"Sobriété"
"Aménagement de sites","2041-45",2.46302,"Sobriété"
"Aménagement de sites","2046-50",2.2826,"Sobriété"
