"type","year","value"
"Gaz","2013",0
"Gaz","2014",7.01333373531658
"Gaz","2015",14.578898473414
"Gaz","2016",23.9668255206882
"Gaz","2017",32.471182963513
"Gaz","2018",46.6635197349804
"Gaz","2019",46.6635197349804
"Gaz","2020",46.6635197349804
"Gaz","2021",46.5530735344243
"Charbon","2013",3.44600113739304
"Charbon","2014",6.63138034002527
"Charbon","2015",13.755046556821
"Charbon","2016",20.8787127736167
"Charbon","2017",28.9290347584508
"Charbon","2018",42.3365854022574
"Charbon","2019",42.3365854022574
"Charbon","2020",42.3365854022574
"Charbon","2021",42.3365854022574
"Gazole","2013",159.605670164851
"Gazole","2014",159.605670164851
"Gazole","2015",174.433647925265
"Gazole","2016",185.573259358339
"Gazole","2017",197.718788880688
"Gazole","2018",221.30197964034
"Gazole","2019",221.30197964034
"Gazole","2020",221.30197964034
"Gazole","2021",221.30197964034
"Essence","2013",258.409180266902
"Essence","2014",258.409180266902
"Essence","2015",265.732689742253
"Essence","2016",264.497911981874
"Essence","2017",268.542873610702
"Essence","2018",282.253164605255
"Essence","2019",282.253164605255
"Essence","2020",282.253164605255
"Essence","2021",282.253164605255
"Fioul domestique","2013",21.0870236492311
"Fioul domestique","2014",21.0870236492311
"Fioul domestique","2015",28.4637563039091
"Fioul domestique","2016",35.8777451841157
"Fioul domestique","2017",44.2976521535967
"Fioul domestique","2018",58.1942242757931
"Fioul domestique","2019",58.1942242757931
"Fioul domestique","2020",58.1942242757931
"Fioul domestique","2021",58.1942242757931
"Moyenne","2013",79.8145807396123
"Moyenne","2014",81.6539433098752
"Moyenne","2015",89.6286676238342
"Moyenne","2016",95.730065022581
"Moyenne","2017",111.008211808456
"Moyenne","2018",118.777714741753
"Moyenne","2019",122.124410868778
"Moyenne","2020",122.124410868778
"Moyenne","2021",122.124410868778
